,Comment
1872,Anh thử làm bánh tráng nướng đi
1873,Món ruột của em
1874,Cho em hỏi anh ở tỉnh nào vậy :)))))) ?????
1875,ăn có 4-5 cái kêu ăn hết? thử thách cc j đây
1876,Ăn Về Tào Tháo Dược ko anh
1877,VẪn còn thèm
1878,tra tấn người xem
1879,Làm thêm video thử thánh nhiều  và có ý tưởg ság tạo tuyệt vời hơn nha e ... Chúc e thành công
1880,Thích khoe
1881,dang ki cho em di
1882,Thử thách ăn các loại đồ hun khói có vẻ chuẩn hơn 👌
1883,Ngon qua anh oi
1884,clip rất hay
1885,bớt chửi
1886,Anh lam clip bủa lứới bát cá đi anh
1887,ngon quá anh ơi
1888,ngon quá anh ơi
1889,Tú em j đó nhìn de thưong qua
1890,tô kem che bớt mụn đi.
1891,Đm Xàm lz quá đi à
1892,Mấy thằng đó bị n*ng đó anh đừng để ý a ơi
1893,Mặt nhìn ko có thiện cảm cho lames
1894,Ngon quá :))
1895,Ăn gì mà xấu quá vậy
1896,may mun thay gom cht me
1897,E luôn ủng hộ kênh anh
1898,Thèm quá
1899,em cũng có ăn ở đó nữa
1900,nhin măt ngô qua
1901,Tao thề là tao coi hết video tao chảy cả lít nc dãi
1902,nhin mat thay
1903,Đẹp trai vaiz
1904,Thèm quá
1905,Nhìn ngon quá anh ơi
1906,tk đi theo sướng vãi ra đc bao :D
1907,A này ko ham ăn
1908,Hay quá
1909,Chị kinh của em lắm luôn.. Mỗi lần xem là chị nhớ quê
1910,E thèm
1911,Gần 1 tr rồi mọi người ủng hộ ảnh nha
1912,Khu Vui chơi ở mỹ long...
1913,Mặc dù nghèo nhưng clip của anh rất chất lượng
1914,má thằng lz bị lé =))
1915,Toàn ba đồ nóng cm
1916,a mua ngoài siêu thi an di a
1917,Anh oi lm ho boi duoi ông dt di ak
1918,Thèm quá
1919,Thèm quá mà sợ mập
1920,Em nhìn anh em thấy thèm
1921,bớt chửi đi m.b
1922,Anh thử ăn đồ Chiên đi
1923,Anh huyện j vậy
1924,Thằng này nổi tiếng r k thèm tl luôn
1925,Muốn về Việt nam ăn quá
1926,Vừa sĩ vừa chảnh cho oc vat
1927,Thằng này giật giật kiểu gì nhỉ
1928,Thèm quá
1929,Xin link nhạc đầu clip đi bn
1930,Gấu Em đẹp trai vl
1931,Ăn nhiều vãi nồi
1932,T gết cho 2:15 mặt sĩ
1933,Ngon quá
1934,Ngon qua
1935,Nhìn ngon v~ lìn😋😋😋
1936,Cố lên tao tin mày sẽ làm đươc
1937,Mai moc có tiền ckac là em cug ăn như the
1938,Ăn giống như ham vậy e trai
1939,Cố lên anh sắp 1 m súp rùi
1940,Chúc mừng anh đươc 400sub nhé
1941,Ngon kinh
1942,Trả lời anh ơi :<
1943,Cái tương nâu là j vậy anh
1944,E mến a lắm rán ra nhiều video nữa nha 😊😊😊
1945,Hùi nhỏ thèm==
1946,em thêm qua Đi
1947,anh oi lam soai lac sieu cay di anh
1948,Xin link nhạc phút thứ 7 Man ơi
1949,24 h ko uống nc lạnh chỉ uống nc nóng ik a
1950,Cho e Xin link nhac thứ hai
1951,Hội à anh bày Đồ kìa
1952,Ý anh ở đồng tháp hả
1953,ngon vãi chưởng
1954,Xem cũng thèm
1955,Sao anh uống nước anh anh lại bĩu môi vậy
1956,Mặt anh hoi nhìu mụn đó
1957,Nhà anh ở đâu ý nhỉ
1958,Chào mn ủng hộ clip đầu tiên của mình nhé mơn ạhttps://youtu.be/z0IyYPM4L-M
1959,nhìn ngon :P
1960,nhìn tưởng món chiên:D
1961,ê đẹp chaiii nhe kkkk
1962,Anh chỉ em làm dí... 😀
1963,Cho em miến đi
1964,Cứ đà này thì 1tr sup nhanh lắm
1965,Hay
1966,Mặt như dàn cơm cháy r còn ăn đồ chiên
1967,em thich an lam anh tang cho em nha
1968,Ai cũng ăn rồi mà anh
1969,nhìn anh ăn mà e thèm
1970,Thèm quá anh ơi
1971,Ngon thế
1972,xem buổi tối nhìn mà thèm quá à
1973,Cho xin link nhạc nền
1974,300k sud rồi kìa anh
1975,Thèm quá hihi!😋😋😋
1976,Nhinf ngon thế anh ơi cho em xin miếnh
1977,Nhìn mà thèm
1978,O nhin anh an ngon v -_-
1979,Một youtuber nhỏ tuổi thiệt là thú dị
1980,Cho e quay chung anh với
1981,ngon vlll :v đêm xem bụng réo cả lên
1982,Cần xin nhạc ạ :( 5:05
1983,Hay quá anh ơi
1984,Thu thach anh nguyen trong thung xop 10h
1985,Anh làm nhiều video ăn uống thế này đến cơ mập thay giống em thì xong luôn
1986,4:25 là bài gì vậy anh :< ?
1987,Nhìn duyên ghê gớm :<
1988,Anh sống ở đâu vậy
1989,Ăn xong về đau bụng và ỉa chảy
1990,Anh ăn ko có phap dẫn mấy
1991,nhai đồ ăn vô duyên
1992,Ăn nhem nhem người ta thấy mà rét
1993,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 đếm đi
1994,ngon qá anh:(
1995,Rất ủng hộ anh nhiều clip ăn uống
1996,Chó Nguyên
1997,Cũng đẹp trai mà dù tí mụn thui ehehe
1998,ở đâu vậy ta
1999,Coi chừng ăn nhiều nổi mụn nha bn
2000,Thèm quá cho em một cây đi
2001,Anh live Mỹ Long à
2002,Video thấy nhàm chán k như NTN
2003,Mặt ghê vl
2004,an toàn thực phẩm là trên hết nhé
2005,Gần nhà . Ông này học trường trung học cơ sở cao lãnh 2 .
2006,Uôi thèm quá
2007,Nó thèm lắm hả gì áh
2008,Link bài đầu mn ơi
2009,Hello
2010,Nói ít lại sẽ hay hơn!
2011,Anh dag ở đâu
2012,Nhìn a ăn  thèm quá
2013,chảy nc bọt rồi
2014,Món ruột của mình
2015,Em sin link nhạc đi
2016,Nhìn ngon quá a ơi
2017,Moi an may cay no v truong
2018,Nhạc khúc đâu là tên gì ạ anh
2019,Ngon quá hic hic
2020,Việc mày làm không có ý nghĩa
2021,Ảnh nền 😂😂
2022,bớt chửi đi
2023,Mặt anh dễ thương quá
2024,Chỉ sợ ko có tiền chả
2025,Ngon quá anh ơi
2026,Sao giống quê em vậy
2027,1 xiên như v là bao nhiêu v anh
2028,5:05 nhạc gì vậy ạ ?
2029,Ở đây nướng à chỗ tao chiên toàn dầu
2030,tan minh lai
2031,Mặt dậy thì nên hơi nhiều mụn
2032,Kênh anh phát triển nhanh thật
2033,Ngon
2034,anh nhai nhìn vô duyên quá
2035,Ke nguoi ta di
2036,Nhà a ở đâu dọ ♥️
2037,Hơi mất nết
2038,Càng nhìn càng thấy giống trẻ trâu
2039,Phê vãi
2040,Em mà có tiền là e ăn hết -.-
2041,Thằng sịch Tương ngu v
2042,An nhiêu đo ma no
2043,Nhìn hấp dẫn quá 😍
2044,Thèm mà ko được ăn :(
2045,Anh tym em với
2046,Anh ăn nhìn dth quá ào
2047,Anh sản xuất toàn là video thú vị
2048,Anh oi lam thu thach uong rau ma đi anh mong anh đong y
2049,A sống ở đâu vậy
2050,Em cư tương gâu em vê rôi ma
2051,nhìn ngon vãi 😉😉😉
2052,12h khuya ma coi chay nuoc mien qua
2053,cho em xin tên nhạc 6:41 đi anh nguyênnoiw
2054,Mắt m bị lác à
2055,Cái mặt
2056,Hello
2057,Em trai de thuong qua
2058,Like Fan đây
2059,ở đâu vậy e...nhìn ngon wa...
2060,Ngon qua anh oi cho em an voi
2061,nhan xét bot bo lao đi
2062,Co cai ao mặt quài
2063,ngon quá anh ơi anh mua ở đâu vậy anh
2064,Ko sợ trĩ hả cu
2065,Anh mua ốc buôn ăn cho em coi đi
2066,Ngon quá
2067,Cay quá
2068,phê vãi
2069,ngon quá 😮
2070,ngon
2071,hay thế
2072,Em thèm muôn chay nuoc mieng
2073,Cho lịm nhạc đi anh ơi
2074,A làm mì tôm chiên đi a
2075,Nhìn nhon ghê
2076,Ngon quá
2077,Đẹp trai ra phết
2078,quao
2079,"Em them qua
😋😋😋😋😋"
2080,Chả hay tẹo nao
2081,Nhìn ngon vãi
2082,Ngon qua
2083,chải nước miếng
2084,dcm
2085,Ngon qua
2086,Giống bọn daođao
2087,Nhìn ngon ghê
2088,Vl khoe ăn
2089,Đạo txt thứ chó đẻ
2090,e noi nghe nha quay de nhin an ha
2091,Đẹp trai vãi linh hồn
2092,A ở tỉnh nào
2093,Ngon thế
2094,Ngon qua
2095,Ngon thế
2096,Nhìn ngon ghê
2097,Ngon quá
2098,Qua ngon luon
2099,Em biết chỗ đó
2100,Xe clnạy ngang bụi lắm
2101,Nhìn ngon v
2102,Nhìn anh ăn mà thèm ghê
2103,Hốc như chưa bao giờ đc hốc
2104,Ăn toàn đồ nóng hèn chi mặt toàn mụn
2105,A ít ra vd v
2106,Nút vàng ơi
2107,nhin thay them
2108,Mỹ long khúc nào
2109,Nhìn ngon quá đi
2110,Cho một acc lq đê cái
2111,Nhìn  ngon quá
2112,anh ở đâu v
2113,Nhac này là j vay
2114,Ăn như chưa dược ăn
2115,mỹ long
2116,mày làm bố m thèm r đấy chó ạ =))
2117,thèm ăn quá di
2118,Di ăn ở dau vậy
2119,A ng Mỹ Lộc NĐ ak
2120,A thu lam do nuong du loai jk
2121,Thêm qua di
2122,Địt mẹ thử thách hay thế
2123,Ngon qua😀😀😀
2124,ngon quá
2125,nhinh mai toc thay nong
2126,Nhìn mặt bư bư
2127,Ngon qua cho an voi
2128,nhìn mặt hơi hảm
2129,Nhìn ngon ghê :)
2130,ngon qua👍👍👍
2131,nhac tên gì v . ai biết k
2132,Nhin thay them qua
2133,Link nhạc là gì vạy khúc đầu í ko phải intro
2134,Ngon qua😋😋😋😋😋
2135,"Mắc cười cho câu "" thử thách"""
2136,Ăn như kiểu ko mất son ý {chảnh}
2137,mi lông rần tui
2138,HUU CHIEI
2139,Nhìn ngon quá💖!
2140,bụng không đáy
2141,Thèm quá đi ah
2142,Tu nhieu them uong vo qua
2143,Ngon quá trời hh
2144,999n người xem omg
2145,Nói chuyện nghe dễ thương ha😍
2146,Nhìn thèm vãi
2147,nhìn muốn ăn quá
2148,1 cây số gần mà lặn lội j vl
2149,Cho em địa chỉ nhà anh xuốg chơi vs anh HIHI
2150,Ỏe đâu vậy
2151,hay
2152,Ngon quá !
2153,Cho em một miếng
2154,Cho em xin link nhạc đoạn đầu với ạ
2155,Ngon quá😁
2156,Ngon quá😁
2157,ngon qua
2158,Like  đi mọi ng
2159,Ủa BN bnhiu tuổi z
2160,E bt chợ mỹ lòng nek
2161,"Nước đâu ra nhìu zữ vậy r😂
Anh ơi nước tràn bờ đê😂"
2162,Bẩn con mẹ mày ntn
2163,Amh nguyên đẹp trai bẩm sinh
2164,Ngon quá ak
2165,Anh ê sao ko cho em 1 miếng
2166,A bị lé hã
2167,nhin ma chay nuoc bot
2168,hi
2169,Nhìn xấu thế
2170,A ở đâu vậy
2171,Nhìn thèm quá hà😛😛
2172,Mk t cân cả xe ý
2173,qua xuc pham
2174,quá ngon
2175,You tube của mày lên nhanh thế
2176,Matmay lao lol qua
2177,Cài driver cho máy
2178,Thèm quá à
2179,Hello VietNam
2180,A lớp mấy rùi
2181,Ngon quá à
2182,Co ai chay nuoc mieng ko
2183,Nhin nhu con tinh trung khuyet tat
2184,Nhìn ngon wa bác
2185,Nhìn hãm vờ lờ:-)
2186,Ngon ba chay
2187,"Ngon cho 1 like 
👇"
2188,hello anh lâu ko xem lại
2189,xuat ngay an muon chl ng khac them chac
2190,Nhìn đã vãi
2191,"Thèm quá 😍😍
👬 ‹--- !!! WTF !!!! Đố ai hiểu"
2192,Ngon qua huhi
2193,Nhìn anh an ma em phai lau nha
2194,Mặt lờ
2195,Dg tuổi mọc lông
2196,mày ngây vừa thui
2197,An gi nhieu vay
2198,Thu thach 24 gio o trong tolet di anh nguyen
2199,Ai xem chảy dãi điểm ranh
2200,Thang deo mắt kính vô. Duyên quá
2201,Sao thấy mẹ của tnt
2202,ngon qua
2203,thửthách24giờxốngtrongtủlạnh
2204,Anh này làm video về thử thách đồ nướng hay quá. Ai thấy hay cho 1 like
2205,thèm quá hay quá
2206,Nội dung nhàm nhí thực ra view là do viewer họ tò mò thôi chứ ko có gì là hau nội dung quá nhảm nhí
2207,"thèm quá anh ơi 
đừng làm mọi người thèm"
2208,ngon qua anh oi 😋😋😋
2209,Nút vàng mẹ nó rồi kìa
2210,hay
2211,Them
2212,Thà nhìn đồ ăn còn đẹp hơn mặt thg clip
2213,"ông nguyên này gần nhà tui nè , nhưng tui học ở tp hiccc"
2214,Nhìn mà thèm
2215,Class
2216,dit me
2217,Nhìn đã dữ ☺️☺️☺️☺️
2218,Ngon quá anh ơi 🤤🤤🤤
2219,ăn đừng quay cái mặt @@ tao ăn cơm còn k zô đừng nói xem
2220,Đưa e jk
2221,bọn mày thiếu kênh để sủa à
2222,"Mặt người ta s thì kệ Đi 
ns xấu ngt chi v 😊"
2223,"Anh ơi dù ai có chê bai thì anh cứ bỏ ngoài tai nha anh, chúng nó chửi anh vì chúng nó ko đc như anh thôi, anh hãy tiếp tục ra thật nhiều video clip hay để chia sẻ cho mọi người đi ạ ! Còn rất nhiều người yêu thương và ủng hộ anh 
Chúc anh thật nhiều sức khỏe, may mắn, và thành công trên con đường làm Youtube của anh !"
2224,A để tóc dài đi
2225,Làm clip hay nà xoay xoay nhìn chóng mặt quá.  Mất hứng coi
2226,Mỹ Long quê em anh ây
2227,"e ở mỹ thọ nè
ngoại e ở bình hàng tây"
2228,Cute
2229,Like nào  🐷🐷
2230,Ngon quá là ngon giờ là thấy thèm nha
2231,Anh làm clip ăn xúc xích xiêu ngọt đi anh
2232,Ngon quá đi trời
2233,Xem đi xem đi xem lại vẫn còn thèm ai còn xem giống tui ko :)
2234,hi anh
2235,3:18 ai thấy zú của ổng ko =))))
2236,Như cặc ngon đấy
2237,Tao bằng tuổi mầy đấy HNN
2238,Đit mẹ thiên đường đây r
2239,Anhh ở mỹ longg thuộc đồng tháp hả anhh
2240,nói chuyện xàm lol đãi đãi cái mỏ thấy ghét
2241,Sao mà nhìn mat xấu vậy
2242,Them qua
2243,E chào a Nguyên
2244,"Số tiền lì xì của mn dựa vào đây
👇🏻☑️"
2245,Mặt học sinh nhưng ngực lại là của phụ huynh :v
2246,"Số lượng dislike của độn
👇👇"
2247,"1,7 triệu view
55N like
67N disslike 😌😌😌"
2248,"Giọng hát đã cs sự tiến bộ, hay r 
Nội dung còn quá lứa tuổi
Còn chuyện độn thì cho mik ns nhìu người lớp10,11 ngực cx to hơn cj linh nx mà"
2249,"1:17 t nghe nó nói là
“Em ước là con đuỹ” :vv"
2250,vc :)))
2251,Đức trần vô tình nghe đc í mà :))
2252,@@ đr
2253,•Bear Bear• chuẩn chuẩn :))))
2254,Ôi Vãi thật
2255,"Chuẩn lun ý, tớ cũng nghe vậy😂"
2256,“Con nít” 😂
2257,T cx vại
2258,Chuẩn nhệ
2259,Nghe qua t cx nghĩ là con đũy
2260,Chuẩn
2261,@linh Nguyễn yêu sớm kệ mẹ họ dell liên quan gì mày đâu
2262,S
2263,"•Bear Bear• vãi thím 
Mà nghe lại thì cx giống giống😂😂"
2264,Vl 😂
2265,Chuẩnn nhỉ :v
2266,Nhắc mới nghe được
2267,... mà chẳng cần l*n :))
2268,Đũy là mày á
2269,chuẩn vl :v
2270,ƯỚc gì nữa bây giờ em đã là con đũy rồi dod
2271,"đúng, bật 0,25 mà soi"
2272,nử thần lạnh lùng đụng tới bạn hả :)
2273,Yoongi Min vãi loz :v
2274,con nít
2275,ý t cũng nghe được :))
2276,Con nít mà
2277,Tui cũng thế
2278,Con đỹ=))
2279,Bật 1.5 ă
2280,Chuẩn quá
2281,Là con níttttt..
2282,true vcl :v
2283,Đúng thật:)))
2284,Chuẩn luôn
2285,•Bear Bear• nít nha bạn ơi
2286,Vcl t cũng nghe ra thế🤣
2287,nó đó
2288,Lên top ngay
2289,Good
2290,đúng òi
2291,Con nít
2292,Đr 😂
2293,Tui cx z 😁
2294,. Phục :vv
2295,Ui tui cc nghe z 😅 mà thặc ra là con nít đúng ko
2296,Haha
2297,Em ước là Con đũy mà k cần la :v
2298,"Ngực to hơn cả người luôn,sợ e đổ về TRC quá l ơi!"
2299,Tr mé dislike nhiều dữ 😂😂bà này bộ ăn ở sao mà bị ghét dữ vậy
2300,"Sô người bài này dell da gì
👇"
2301,1:06 ôi thấy bàn tay anh nhỏ xinh cute quá =))
2302,"Vú linh ka to cỡ nào phụ thuộc vào đây :))
👇"
2303,0:46 Long Hoàng nhìn cái gì zậy .-..-.-.-.-.-.-.-.
2304,2:08 best giáo dục vị thành niên
2305,"Tại sao ngực lại to nhanh z trời -.- nguyên lí nào? 
#Động_tui_có_ở_đây_hong_zợ?"
2306,Đây là lần đầu video của chị linh số lụơt like gần = lượt dis
2307,"tao không cần biết người ta nói gì về linh ka tao chỉ cần biết         



người đọc comment này Tết vui vẻ hạnh phúc bên gia đình nha"
2308,Há mình cầm tay nhau giao phối ak :))
2309,Chị linh em khuyên thật lòng chị nên xoá linh của BTS và làm lip xin lỗi. Em ko phải antifan nên chị đừng lo
2310,0:33 và 0:50 khác vl bọn m ạ
2311,"bạn làm những video đúng tuổi . tình yêu tuổi teen ý 
trang điểm nhẹ nhàng mà dễ thương nữa nhé
nhìn bạn cute lắm luôn ý"
2312,"Mặt học sinh
Ngực phụ huynh
Lol cựu chiến binh🤣"
2313,"what the hell dislike 75N , LIKE 60N"
2314,"Dislike nhìu hơn Like





Chất"
2315,"55N Like 67N Dislike 
Chuẩn cmnr =))"
2316,Xuân để gia đình sum hợp chứ ko phải để yêu nhau đâu nhé
2317,"Số lớp silicon độn ngực của Linh
👇"
2318,"58k lượt like và 73k lượt dislike
Ngưỡng mộ vcl"
2319,2:05 0_o nạn ấu dâm ng dưới 18 đang lọng hành
2320,71 ngàn ng dis like không tin đc chưa bao h thấy số dí like lai hơn like chín 😂
2321,Ko sao em dù dislike khá nhiều nhưng em vẫn thích chị.
2322,Có ai từ fb vì cái hình mà sang đây k😎
2323,"_Nói thật chứ, chị Linh đóng không được tự nhiên lắm"
2324,Người ta sửa cái j cũng chung một tổ quốc và con người chứ bộ
2325,t chỉ muốn nói là giọng long hay phết đó
2326,Ae so sánh vòng 1 ka lúc 0:11 và 0:46
2327,"MV cho thấy tình yêu không giới hạn hoàn cảnh, tuổi tác. Trong MV là hình ảnh tình yêu của 2 ông cháu: ông già tóc bạc phơ, đứa cháu thì còn nhỏ mà đã bị 1 khối u ác tính ở zú. Thật đáng buồn! T_T ^_^"
2328,"57N like 
71N dílike :))"
2329,Mong mọi người đừng chửi chị nữa
2330,Vai ca 56N like - 68N dislike
2331,Ít ra vẫn có tí dễ thương so vs mấy MV kia
2332,"Số lượng người đã dislike
👇🏻👇🏻"
2333,Ôm ấp ít thôi thì tốt :v
2334,0:05 Linh cute quá
2335,ua 1:17 la con đuy ha
2336,Cj Linh ơi cho em hỏi ngực của cj là thật hay giả ạ
2337,"Tk nào con nào từ fb vì cái zú mà bay wa ây=))
👇nhấn zô nhấn zô"
2338,"What????
70N lượt disslike wow"
2339,Hai quoa Bui to thê
2340,Cj linh ơi bữa nay lép mới mốt cj ơi
2341,"53N like
73N dislike"
2342,"Những đứa dislike 
👇dựa vô đây"
2343,Chị ấy còn nhỏ mà đóng clip này thì hơi kì thiệt
2344,1:17 con nít nha ko phải con đũy 😂
2345,0:11 Kill me please
2346,0:31 FBI OPEN UP!!!
2347,Facebook đưa tao đến đây xem zú link ka
2348,1:16 mọi người nghe gì ko ?
2349,"Bài này hay,views k tệ😁!!! Nhưng độn.... ko phù hợp lắm nhỉ....."
2350,Chị linh ka nên làm MV đúng vs lứa tuổi của chị ấy ạ (ý kiến riêng). Em thấy chị hát cx có tiến bộ rồi!
2351,hay wa<3<3
2352,"Số người ghét linh ka dựa vào đây
👇"
2353,Dislike 74k like 51k vcl thật
